Target,Algorithm,# Moves,Notes
UR,(R' U R U') M2 (U R' U' R),9,
RU,(B' R B) M2 (B' R' B),7,
UF,U2 M' U2 M',4,
FU,D [M' (U R2 U') M (U R2 U')] D' M2,11,
UL,(L U' L' U) M2 (U' L U L'),9,
LU,(B L' B') M2 (B L B'),7,
UB,M2,1,
BU,(B' R B U R2 U') M2 (U R2 U' B' R' B),13,
DR,(U R2 U') M2 (U R2 U'),7,
RD,(B' R' B) M2 (B' R B),7,
DL,(U' L2 U) M2 (U' L2 U),7,
LD,(B L B') M2 (B L' B),7,
DB,M U2 M U2,4,
BD,M2 D [(U R2 U') M' (U R2 U') M] D',11,
FL,(U' L' U) M2 (U' L U),7,
LF,(B L2 B') M2 (B L2 B'),7,
FR,(U R U') M2 (U R' U'),7,
RF,(B' R2 B) M2 (B' R2 B),7,
BL,(U' L U) M2 (U' L' U),7,
LB,(L' B L B') M2 (B L' B' L),9,
BR,(U R' U') M2 (U R U'),7,
RB,(R B' R' B) M2 (B' R B R'),9,
