,1st Target,2nd Target,Primary Algorithm,Moves,Alternative Algorithm,Moves
1,UFR,UFL,x' [(L' U L') D2 (L U' L') D2 L2] x,9,,
2,UFR,FLU,x [R2 D2 (R U2 R') D2 (R U2 R)] x',9,,
3,UFR,LUF,F [(R' D' R) U2 (R' D R) U2] F',10,,
4,UFR,UBR,x [(R' U R') D2 (R U' R') D2 R2] x',9,,
5,UFR,BRU,R' [U2 (L' D2 L) U2 (L' D2 L')] R,10,,
6,UFR,RUB,F [R2 (U' L' U) R2 (U' L U)] F',10,,
7,UFR,DFR,[U2 (R' F' R2 F R) U2 (R' F' R2 F R)],12,,
8,UFR,FDR,[(L' D2 L) U2 (L' D2 L) U2],8,,
9,UFR,RDF,[U2 (R' D' R) U2 (R' D R)],8,,
10,UFR,DFL,D [U2 (R' F' R2 F R) U2 (R' F' R2 F R)] D',14,,
11,UFR,LDF,[U2 (R' D R) U2 (R' D' R)],8,,
12,UFR,FDL,y' [(L D' L') U2 (L D L') U2] y,8,,
13,UFR,DBL,z D' [(R' U2 R') D (R U2 R') D' R2] D z',11,,
14,UFR,BDL,[U2 (R' D2 R) U2 (R' D2 R)],8,,
15,UFR,LDB,y [U2 (L D2 L') U2 (L D2 L')] y',8,,
16,UFR,DBR,D' [U2 (R' F' R2 F R) U2 (R' F' R2 F R)] D,14,R D' [(R' U2 R') D (R U2 R') D' R2] D R',13
17,UFR,RDB,[(L' D L) U2 (L' D' L) U2],8,,
18,UFR,BDR,y [U2 (L D' L') U2 (L D L')] y',8,,
19,RFU,UFL,x' [(R U' R') D (R U R') D'] x,8,,
20,RFU,FLU,[r' (U' R U) L (U' R' U)] x,8,,
21,RFU,LUF,F [U2 (R' F' R2 F R) U2 (R' F' R2 F R)] F',14,x z D [R2 D2 (R U2 R') D2 (R U2 R)] D' z' x',11
22,RFU,UBR,y [(R U2 R) D (R' U2 R) D' R2] y',9,,
23,RFU,BRU,[R2 D2 (R U2 R') D2 (R U2 R)],9,,
