,1st Target,2nd Target,Primary Algorithm,Moves,Alternative Algorithm,Moves
1,UR,UF,U' [M2 (R' U R U') M2 (U R' U' R)] U,12,,
2,UR,FU,x [(U R' U') M' (U R U') M] x',8,,
3,UR,UL,[U' M' U2 M U'],5,,
4,UR,LU,y' x [M (U R U') M' (U R' U')] x' y,8,y' [(U R2 U') M' (U R2 U') M] y,8
5,UR,UB,[(R' U R U') M2 (U R' U' R) M2],10,,
6,UR,BU,x' [(U' R U') M (U R' U') M' U2] x,9,,
7,UR,DR,[(U' M2 U) R2 (U' M2 U)],8,,
8,UR,RD,y' [(U R2 U') M (U R2 U') M'] y,8,y x' [M' (U R' U') M (U R U')] x y,8
9,UR,DL,L2 [U' M' U2 M U'] L2,7,,
10,UR,LD,y' x [U2 M (U R U') M' (U R' U')] x' y,9,,
11,UR,DB,[u M u2 M u],5,,
12,UR,BD,x' [(U R U') M (U R' U') M'] x,8,,
13,UR,FL,L' [U' M' U2 M U'] L,7,,
14,UR,LF,u' [M2 (U R U') M2 (U R' U')] u,10,,
15,UR,FR,[(U' M2 U) R (U' M2 U) R'],8,,
16,UR,RF,u' [M2 (U R' U') M2 (U R U')] u,10,,
17,UR,BL,L [U' M' U2 M U'] L',7,,
18,UR,LB,u' [M2 (U' L' U) M2 (U' L U)] u,10,,
19,UR,BR,[(U' M2 U) R' (U' M2 U) R],8,,
20,UR,RB,u' [M2 (U' L U) M2 (U' L' U)] u,10,,
21,RU,UF,R B [M' U2 M U2] B' R',8,,
22,RU,FU,[(R U' R' U) M' (U' R U r')],7,,
23,RU,UL,y x [(U' L' U) M (U' L U) M'] x' y',8,y [M' (U' L2 U) M (U' L2 U)] y',8
24,RU,LU,[M U M U2 M' U M'],7,,
25,RU,UB,[(B' R B) M2 (B' R' B) M2],8,,
26,RU,BU,U [(r U' R' U) M (U' R U R')] U',9,,
27,RU,DR,y x [(U' L' U) M' (U' L U) M] x' y',8,,
28,RU,RD,[(U M' U') R2 (U M U') R2],8,,
29,RU,DL,[D (M' U M) D' (M' U' M)],8,,
30,RU,LD,y x [(U' L' U) M2 (U' L U) M2] x' y',8,,
31,RU,DB,[D2 (M' U M) D2 (M' U' M)],8,,
32,RU,BD,x [M' (U' R' U) M (U' R U)] x',8,x2 [(U' R2 U) M (U' R2 U) M'] x2,8
33,RU,FL,u [M' (U L U') M (U L' U')] u',10,,
34,RU,LF,l' [M2 U M U2 M' U M2] l,9,,
35,RU,FR,u [M' (U L' U') M (U L U')] u',10,,
36,RU,RF,[(U M' U') R (U M U') R'],8,,
37,RU,BL,u [M' (U' R' U) M (U' R U)] u',10,,
38,RU,LB,[(B2 R B) M2 (B' R' B) M2 B],9,,
39,RU,BR,u [M' (U' R U) M (U' R' U)] u',10,,
40,RU,RB,[(U M' U') R' (U M U') R],8,,
41,UF,UR,U' [(R' U R U') M2 (U R' U' R) M2] U,12,,
42,UF,RU,R B [U2 M' U2 M] B' R',8,,
43,UF,UL,U [(L U' L' U) M2 (U' L U L') M2] U',12,,
44,UF,LU,L' B' [U2 M' U2 M] B L,8,,
45,UF,UB,[U2 M' U2 M],4,,
46,UF,BU,y' [(U' M' U) R2 (U' M U) R2] y,8,,
47,UF,DR,[U2 M2 (U R2 U') M2 (U R2 U)],9,,
48,UF,RD,R' B [U2 M' U2 M] B' R,8,,
49,UF,DL,[U2 M2 (U' L2 U) M2 (U' L2 U')],9,,
50,UF,LD,L B' [U2 M' U2 M] B L',8,,
51,UF,DB,[u2 M u2 M],4,,
52,UF,BD,U' x' [(U R U') M (U R' U') M'] x U,10,,
53,UF,FL,x y' [M U' M' U2 M U' M'] y x',7,,
54,UF,LF,x y' [M2 U M U2 M' U M2] y x',7,,
55,UF,FR,x y [M U M' U2 M U M'] y' x',7,,
56,UF,RF,x y [M2 U' M U2 M' U' M2] y' x',7,,
57,UF,BL,U' L [U' M' U2 M U'] L' U,9,,
58,UF,LB,B' [U2 M' U2 M] B,6,,
59,UF,BR,U R' [U M' U2 M U] R U',9,,
60,UF,RB,B [U2 M' U2 M] B',6,,
61,FU,UR,x [M' (U R' U') M (U R U')] x',8,,
62,FU,RU,[(r U' R' U) M (U' R U R')],7,,
63,FU,UL,x [M' (U' L U) M (U' L' U)] x',8,,
64,FU,LU,[(l' U L U') M (U L' U' L)],7,,
65,FU,UB,D [M' (U R2 U') M (U R2 U')] D',10,,
66,FU,BU,x D' [M' (U R2 U') M (U R2 U')] D x',10,,
67,FU,DR,x [M' (U R U') M (U R' U')] x',8,,
68,FU,RD,[M' (U' R2 U) M (U' R2 U)],8,,
69,FU,DL,x [M' (U' L' U) M (U' L U)] x',8,,
70,FU,LD,[M' (U L2 U') M (U L2 U')],8,,
71,FU,DB,B [M' (U' R' U) M (U' R U)] B',10,,
72,FU,BD,x D [M' (U R2 U') M (U R2 U')] D' x',10,,
73,FU,FL,x [(l' U' L U) M (U' L' U L)] x',7,,
74,FU,LF,[M' (U L' U') M (U L U')],8,,
75,FU,FR,x [(r U R' U') M (U R U' R')] x',7,,
76,FU,RF,[M' (U' R U) M (U' R' U)],8,,
77,FU,BL,x [M' (U' L2 U) M (U' L2 U)] x',8,,
78,FU,LB,[M' (U L U') M (U L' U')],8,,
79,FU,BR,x [M' (U R2 U') M (U R2 U')] x',8,,
80,FU,RB,[M' (U' R' U) M (U' R U)],8,,
81,UL,UR,[U M' U2 M U],5,,
82,UL,RU,y x [M (U' L' U) M' (U' L U)] x' y',8,y [(U' L2 U) M' (U' L2 U) M] y',8
83,UL,UF,U [M2 (L U' L' U) M2 (U' L U L')] U',12,,
84,UL,FU,x [(U' L U) M' (U' L' U) M] x',8,,
85,UL,UB,[(L U' L' U) M2 (U' L U L') M2],10,,
86,UL,BU,x' [(U L' U) M (U' L U) M' U2)] x,9,,
87,UL,DR,R2 [U' M' U2 M U'] R2,7,,
88,UL,RD,y x [U2 M (U' L' U) M' (U' L U')] x' y',9,,
89,UL,DL,[(U M2 U') L2 (U M2 U') L2],8,,
90,UL,LD,y [(U' L2 U) M (U' L2 U) M'] y',8,,
91,UL,DB,[u' M u2 M u'],5,,
92,UL,BD,x' [(U' L' U) M (U' L U) M'] x,8,,
93,UL,FL,[(U M2 U') L' (U M2 U') L],8,,
94,UL,LF,u [M2 (U' L U) M2 (U' L' U)] u',10,,
95,UL,FR,R [U M' U2 M U] R',7,,
96,UL,RF,u [M2 (U' L' U) M2 (U' L U)] u',10,,
97,UL,BL,[(U M2 U') L (U M2 U') L'],8,,
98,UL,LB,u [M2 (U R' U') M2 (U R U')] u',10,,
99,UL,BR,R' [U M' U2 M U] R,7,,
100,UL,RB,u [M2 (U R U') M2 (U R' U')] u',10,,
101,LU,UR,y' x [(U R U') M (U R' U') M'] x' y,8,y' [M' (U R2 U') M (U R2 U')] y,8
102,LU,RU,[M U' M U2 M' U' M'],7,,
103,LU,UF,L' B' [M' U2 M U2] B L,8,,
104,LU,FU,[(L' U L U') M' (U L' U' l)],7,,
105,LU,UB,[(B L' B') M2 (B L B') M2],8,,
106,LU,BU,U' [(L' U L U') M' (U L' U' l)] U,9,,
107,LU,DR,[D' (M' U' M) D (M' U M)],8,,
108,LU,RD,y' x [(U R U') M2 (U R' U') M2] x' y,8,,
109,LU,DL,y' x [(U R U') M' (U R' U') M] x' y,8,,
110,LU,LD,[(U' M' U) L2 (U' M U) L2],8,,
111,LU,DB,[D2 (M' U' M) D2 (M' U M)],8,,
112,LU,BD,x [M' (U L U') M (U L' U')] x',8,x2 [(U L2 U') M (U L2 U') M'] x2,8
113,LU,FL,u' [M' (U' R U) M (U' R' U)] u,10,,
114,LU,LF,[L' (U' M' U) L (U' M U)],8,,
115,LU,FR,u' [M' (U' R' U) M (U' R U)] u,10,,
116,LU,RF,r [M2 U' M U2 M' U' M2] r',9,,
117,LU,BL,u' [M' (U' L' U) M (U' L U)] u,10,,
118,LU,LB,[(U' M' U) L (U' M U) L'],8,,
119,LU,BR,u' [M' (U' L U) M (U' L' U)] u,10,,
120,LU,RB,[(B2 L' B') M2 (B L B') M2 B'],9,,
121,UB,UR,[M2 (R' U R U') M2 (U R' U' R)],10,,
122,UB,RU,[M2 (B' R B) M2 (B' R' B)],8,,
123,UB,UF,[M' U2 M U2],4,,
124,UB,FU,D [(U R2 U') M' (U R2 U') M] D',10,,
125,UB,UL,[M2 (L U' L' U) M2 (U' L U L')],10,,
126,UB,LU,[M2 (B L' B') M2 (B L B')],8,,
127,UB,DR,[M2 (U R2 U') M2 (U R2 U')],8,,
128,UB,RD,[M2 (B' R' B) M2 (B' R B)],8,,
129,UB,DL,[M2 (U' L2 U) M2 (U' L2 U)],8,,
130,UB,LD,[M2 (B L B') M2 (B L' B')],8,,
131,UB,DB,[u2 M u2 M],4,,
132,UB,BD,x2 D [(U R2 U') M' (U R2 U') M] D' x2,10,M2 D [(U R2 U') M' (U R2 U') M] D' M2,12
133,UB,FL,[M2 (U' L' U) M2 (U' L U)],8,,
134,UB,LF,[M2 (B L2 B') M2 (B L2 B')],8,,
135,UB,FR,[M2 (U R U') M2 (U R U')],8,,
136,UB,RF,[M2 (B' R2 B) M2 (B' R2 B)],8,,
137,UB,BL,[M2 (U' L U) M2 (U' L' U)],8,,
138,UB,LB,[M2 (L' B L B') M2 (B L' B' L)],10,,
139,UB,BR,[M2 (U R' U') M2 (U R U')],8,,
140,UB,RB,[M2 (R U' R' U) M2 (U' R U R')],10,,
141,BU,UR,x' [U2 M (U R U') M' (U R' U)] x,9,,
142,BU,RU,U [(R U' R' U) M' (U' R U r')] U',9,,
143,BU,UF,y' [R2 (U' M' U) R2 (U' M U)] y,8,,
144,BU,FU,x D' [(U R2 U') M' (U R2 U') M] D x',10,,
145,BU,UL,x' [(U2 M (U' L' U) M' (U' L U')] x,9,,
146,BU,LU,U' [(l' U L U') M (U L' U' L)] U,9,,
147,BU,DR,y [(M' U M) D (M' U' M) D'] y',8,,
148,BU,RD,[U2 M' (U' R2 U) M (U' R2 U')],9,,
149,BU,DL,y' [(M' U' M) D' (M' U M) D] y,8,,
150,BU,LD,[U2 M' (U L2 U') M (U L2 U)],9,,
151,BU,DB,x' y [(U' M' U) R2 (U' M U) R2] y' x,8,F' [M (U R U') M' (U R' U')] F,10
152,BU,BD,z2 y [R2 (U' M' U) R2 (U' M U)] y' z2,8,U x [M' (U' R' U) M (U' R U)] x' U',10
153,BU,FL,F' [(U R U') M2 (U R' U') M2] F,10,,
154,BU,LF,[U2 M' (U L' U') M (U L U)],9,,
155,BU,FR,F [(U' L' U) M2 (U' L U) M2] F',10,,
156,BU,RF,[U2 M' (U' R U) M (U' R' U'],9,,
157,BU,BL,u' [(U' M' U) L' (U' M U) L] u,10,,
158,BU,LB,[U2 M' (U L U') M (U L' U)],9,,
159,BU,BR,u [(U M' U') R (U M U') R'] u',10,,
160,BU,RB,[U2 M' (U' R' U) M (U' R U')],9,,
161,DR,UR,[(U' M2 U) R2 (U' M2 U)],8,,
162,DR,RU,y x [M' (U' L' U) M (U' L U)] x' y',8,,
163,DR,UF,[(U' R2 U') M2 (U R2 U') M2 U2],9,,
164,DR,FU,x [(U R U') M' (U R' U') M] x',8,,
165,DR,UL,R2 [U M' U2 M U] R2,7,,
166,DR,LU,[(M' U' M) D' (M' U M) D],8,,
167,DR,UB,[(U R2 U') M2 (U R2 U') M2],8,,
168,DR,BU,y [D (M' U M) D' (M' U' M)] y',8,,
169,DR,DL,L2 R2 [U' M' U2 M U'] R2 L2,9,,
170,DR,LD,x z [M' (U' R U) M (U' R' U)] z' x',8,,
171,DR,DB,R2 [u M u2 M u] R2,7,B2 [(U R2 U') M2 (U R2 U') M2] B2,10
172,DR,BD,x' [(U R' U') M (U R U') M'] x,8,,
173,DR,FL,z' [R (U' M2 U) R' (U' M2 U)] z,8,L' R2 (U' M' U2 M U') R2 L,9
174,DR,LF,x' [R (U M' U') R' (U M U')] x,8,,
175,DR,FR,[R2 (U' M2 U) R' (U' M2 U) R'],9,,
176,DR,RF,z [L' (U' M' U) L' (U' M U) L2] z',9,,
177,DR,BL,z' [R (U M2 U') R' (U M2 U')] z,8,L R2 (U' M' U2 M U') R2 L',9
178,DR,LB,z' [R (U' M U) R' (U' M' U)] z,8,B' [(U R2 U') M2 (U R2 U') M2] B,10
179,DR,BR,[R2 (U' M2 U) R (U' M2 U) R],9,,
180,DR,RB,z x [(U M2 U') L' (U M2 U') L] x' z',8,B [(U R2 U') M2 (U R2 U') M2] B',10
181,RD,UR,y' [M (U R2 U') M' (U R2 U')] y,8,y' x' [(U R' U') M' (U R U') M] x y',8
182,RD,RU,[R2 (U M' U') R2 (U M U')],8,,
183,RD,UF,R' B [M' U2 M U2] B' R,8,,
184,RD,FU,[(U' R2 U) M' (U' R2 U) M],8,,
185,RD,UL,y x [(U L' U) M (U' L U) M' U2] x' y',9,,
186,RD,LU,y' x [M2 (U R U') M2 (U R' U')] x' y,8,,
187,RD,UB,[(B' R' B) M2 (B' R B) M2],8,,
188,RD,BU,[(U R2 U) M' (U' R2 U) M U2],9,,
189,RD,DL,x z' [(U L' U') M' (U L U') M] z x',8,,
190,RD,LD,z2 [M U M' U2 M U M'] z2,7,,
191,RD,DB,z2 y' [M U M' U2 M U M'] y z2,7,,
192,RD,BD,x [M' (U' R U) M (U' R' U)] x',8,,
193,RD,FL,z D [M' (U L' U') M (U L U')] D' z',10,,
194,RD,LF,x R [M2 U M U2 M' U M2] R' x',9,,
195,RD,FR,u' [R2 (U M' U') R (U M U') R] u,11,,
196,RD,RF,[R2 (U M' U') R' (U M U') R'],9,,
197,RD,BL,z D' [M (U' L' U) M' (U' L U)] D z',10,,
198,RD,LB,[(B2 R' B) M2 (B' R B) M2 B],9,,
199,RD,BR,u [R2 (U M' U') R' (U M U') R'] u',11,,
200,RD,RB,[R2 (U M' U') R (U M U') R],9,,
201,DL,UR,L2 [U M' U2 M U] L2,7,,
202,DL,RU,[(M' U M) D (M' U' M) D'],8,,
203,DL,UF,[(U L2 U) M2 (U' L2 U) M2 U2],9,,
204,DL,FU,x [(U' L' U) M' (U' L U) M] x',8,,
205,DL,UL,[L2 (U M2 U') L2 (U M2 U')],8,,
206,DL,LU,y' x [M' (U R U') M (U R' U')] x' y,8,,
207,DL,UB,[(U' L2 U) M2 (U' L2 U) M2],8,,
208,DL,BU,y' [D' (M' U' M) D (M' U M)] y,8,,
209,DL,DR,L2 R2 [U M' U2 M U] R2 L2,9,,
210,DL,RD,x z' [M' (U L' U') M (U L U')] z x',8,,
